,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Restructuring And Mergern Acquisition,Net Income Discontinuous Operations,Other Special Charges,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Otherunder Preferred Stock Dividend,Other Operating Expenses,Average Dilution Earnings,Selling And Marketing Expense,Earnings From Equity Interest,Gain On Sale Of Ppe,Write Off,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Provision For Doubtful Accounts,Depreciation Income Statement,Preferred Stock Dividends,Other Taxes,Excise Taxes,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Total Other Finance Cost,Rent Expense Supplemental,Rent And Landing Fees,Insurance And Claims,Depletion Income Statement,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization
2023-12-31,10008000.0,0.278,-6795000000.0,36000000.0,36000000.0,-6995000000.0,1987000000.0,18477000000.0,-6759000000.0,-8746000000.0,-689000000.0,942000000.0,253000000.0,-7020992000.0,-6995000000.0,41716000000.0,-9128000000.0,553900000.0,553900000.0,-12.63,-12.63,-6995000000.0,-6995000000.0,-6995000000.0,-16000000.0,-6979000000.0,-6979000000.0,18000000.0,-2691000000.0,-9688000000.0,36000000.0,,36000000.0,36000000.0,0.0,-689000000.0,942000000.0,253000000.0,-9035000000.0,23239000000.0,1842000000.0,21397000000.0,21397000000.0,21526000000.0,-129000000.0,14204000000.0,18477000000.0,32681000000.0,32681000000.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,235488000.0,0.096,6232000000.0,2453000000.0,2453000000.0,5777000000.0,1831000000.0,19232000000.0,8685000000.0,6854000000.0,-395000000.0,462000000.0,67000000.0,3559488000.0,5777000000.0,29895000000.0,6539000000.0,567600000.0,566000000.0,10.18,10.21,5777000000.0,5777000000.0,5777000000.0,-14000000.0,5791000000.0,5791000000.0,11000000.0,612000000.0,6392000000.0,2453000000.0,,2453000000.0,2724000000.0,271000000.0,-395000000.0,462000000.0,67000000.0,4334000000.0,10663000000.0,1862000000.0,8801000000.0,8801000000.0,9049000000.0,-248000000.0,14997000000.0,19232000000.0,34229000000.0,34229000000.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,0.0,0.178,9607000000.0,0.0,0.0,5921000000.0,1915000000.0,18795000000.0,9607000000.0,7692000000.0,-462000000.0,488000000.0,26000000.0,5921000000.0,5921000000.0,27689000000.0,7369000000.0,585300000.0,579000000.0,10.12,10.23,5921000000.0,5921000000.0,5921000000.0,-8000000.0,5929000000.0,5929000000.0,10000000.0,1285000000.0,7204000000.0,,,0.0,0.0,0.0,-462000000.0,488000000.0,26000000.0,7666000000.0,8894000000.0,1994000000.0,6900000000.0,6900000000.0,7197000000.0,-297000000.0,16560000000.0,18795000000.0,35355000000.0,35355000000.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,76633000.0,0.197,8846000000.0,389000000.0,389000000.0,5449000000.0,1911000000.0,16605000000.0,9235000000.0,7324000000.0,-500000000.0,529000000.0,29000000.0,5136633000.0,5449000000.0,25278000000.0,7161000000.0,582200000.0,577600000.0,9.25,9.32,5449000000.0,5449000000.0,5449000000.0,-4000000.0,5453000000.0,5453000000.0,-5000000.0,1337000000.0,6795000000.0,389000000.0,50000000.0,389000000.0,389000000.0,0.0,-500000000.0,529000000.0,29000000.0,6906000000.0,8673000000.0,1878000000.0,6795000000.0,6795000000.0,6929000000.0,-134000000.0,15579000000.0,16605000000.0,32184000000.0,32184000000.0,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48000000.0,68000000.0,,,,,,,,,,,,,,,,,,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,-4530800.0,0.241,842600000.0,-18800000.0,-18800000.0,556600000.0,78300000.0,2368000000.0,823800000.0,745500000.0,-12000000.0,12000000.0,,570869200.0,556600000.0,3095400000.0,,151015574.0,149952679.0,3.69,3.71,556600000.0,556600000.0,556600000.0,,556600000.0,556600000.0,,176900000.0,733500000.0,-11900000.0,6900000.0,-18800000.0,,,-12000000.0,12000000.0,,757400000.0,727400000.0,,727400000.0,,,,1484800000.0,2368000000.0,3852800000.0,3852800000.0,AOS,18800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,0.0,0.21,310000000.0,0.0,0.0,235700000.0,76900000.0,2424300000.0,310000000.0,233100000.0,-9400000.0,9400000.0,,235700000.0,235700000.0,3095200000.0,,155779000.0,151179079.0,1.51,1.559078,235700000.0,235700000.0,235700000.0,,235700000.0,235700000.0,,-12000000.0,223700000.0,-425600000.0,-425600000.0,0.0,,,-9400000.0,9400000.0,,658700000.0,670900000.0,,670900000.0,,,,1329600000.0,2424300000.0,3753900000.0,3753900000.0,AOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,0.0,0.221,707800000.0,0.0,0.0,487100000.0,77900000.0,2228000000.0,707800000.0,629900000.0,-4300000.0,4300000.0,,487100000.0,487100000.0,2929400000.0,,161320000.0,157652567.0,3.02,3.089705,487100000.0,487100000.0,487100000.0,,487100000.0,487100000.0,,138500000.0,625600000.0,20400000.0,20400000.0,0.0,,,-4300000.0,4300000.0,,609500000.0,701400000.0,,701400000.0,,,,1310900000.0,2228000000.0,3538900000.0,3538900000.0,AOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,-1717100.0,0.223,538900000.0,-7700000.0,-7700000.0,344900000.0,80000000.0,1787100000.0,531200000.0,451200000.0,-7300000.0,7300000.0,,350882900.0,344900000.0,2447400000.0,,162604000.0,161769759.0,2.12,2.132042,344900000.0,344900000.0,344900000.0,,344900000.0,344900000.0,,99000000.0,443900000.0,3300000.0,11000000.0,-7700000.0,,,-7300000.0,7300000.0,,447900000.0,660300000.0,,660300000.0,,,,1108200000.0,1787100000.0,2895300000.0,2895300000.0,AOS,7700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,-5781000.0,0.141,10585000000.0,-41000000.0,-41000000.0,5723000000.0,3243000000.0,16698000000.0,10544000000.0,7301000000.0,-252000000.0,637000000.0,385000000.0,5758219000.0,5723000000.0,33631000000.0,6478000000.0,1749000000.0,1734076358.0,3.26,3.300316,5723000000.0,5723000000.0,5723000000.0,,5723000000.0,5723000000.0,,941000000.0,6664000000.0,438000000.0,479000000.0,,,,-252000000.0,637000000.0,385000000.0,6478000000.0,15656000000.0,2741000000.0,10949000000.0,,,,22134000000.0,17975000000.0,40109000000.0,40109000000.0,ABT,,,,-41000000.0,1966000000.0,1966000000.0,1966000000.0,1966000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
